"P606t","A049","A071","p344p","incanon","p493p","a070p","a114p","A094","Gorx"
47.67,2,1,1113.434,1113.434,0,71,7,12,4
0,1,2,126.99,218.556001943624,0,44,4,4,5
13.04,2,1,647.56,647.56,0,58,9,6,3
8,2,1,1243.57,1243.57,0,73,10,12,10
0,2,1,1159.702,1159.702,0,64,8,3,4
0,5,2,611.263397435897,611.263397435897,0,51,4,7,7
32.16,3,2,955.16,955.16,0,48,6,8,4
2.425,4,1,639.940769230769,639.940769230769,0,41,4,8,7
0,1,1,228.5,234.099624173699,0,67,3,12,3
4.015,2,2,750.52,750.52,0,56,8,7,9
0,2,1,585.482,585.482,0,65,6,5,4
0,2,3,867.88,867.88,0,25,4,1,1
0,1,1,238,242.530048076923,0,68,7,12,2
1.575,2,1,152.94,357.30030525626,0,27,3,6,7
3.095,3,2,431.262,499.163730875885,0,73,6,12,11
0,1,1,2134.09,2138.84063301282,1,29,4,3,10
176.195,2,1,2134.09,2134.09,0,52,7,3,8
0,1,2,305.822,351.532192307692,0,71,4,12,6
0.68,3,2,761.95,877.118118364581,0,54,6,12,2
0.19,2,2,349.83,349.83,0,64,4,12,10
1.895,4,1,1225.16,1225.16,0,42,4,8,5
0,2,2,116.5,180.572673236791,0,48,6,9,11
1.33,2,1,551,551,0,60,4,6,9
0.5,1,2,294.85,319.215368345462,0,55,4,11,4
2.77,5,2,656.07,656.07,0,36,6,8,3
1,4,1,2134.09,2134.09,0,57,8,3,7
0,2,1,1599.8365,1599.8365,0,80,10,12,8
0,1,2,164.792,245.695545651956,0,64,2,12,4
3.545,3,1,550.92,550.92,0,54,5,5,7
0,1,2,149.482,265.347071429614,0,75,4,12,2
0,1,2,887.86,893.130625,0,34,3,4,6
0,1,2,410.94,477.137357558063,0,80,3,12,2
0,3,1,791.225,791.225,0,32,5,5,3
1.185,2,3,645.61,645.61,0,78,7,12,6
3.645,2,1,461.93,461.93,0,71,7,12,6
135,2,1,785.2,785.2,0,57,7,5,9
0,1,2,148.07,277.014846682341,0,63,5,12,9
0.675,4,1,1065.59,1065.59,0,53,5,3,8
2.245,1,2,140.905,147.892692307692,0,68,4,7,8
0,1,2,246.37,250.806346153846,0,63,5,7,1
1.75,1,1,391.4845,396.373826923077,0,80,3,12,4
0,1,1,143.36,212.413918484657,0,52,2,12,11
0.895,4,1,503.11,503.11,0,33,5,1,9
0,4,3,871.04,871.04,0,48,10,7,2
47.66,2,2,449.344,449.344,0,76,6,12,11
21.955,5,1,603.99,603.99,0,55,9,3,8
0.495,2,3,442.452,442.452,0,62,6,5,7
0.27,4,1,774,774,0,39,7,8,10
0,1,2,126.230769230769,181.656150062815,0,55,3,7,5
0,1,1,621.5625,627.261442307692,0,27,4,2,9
0,1,1,481.285,486.075817307692,0,46,3,3,3
